measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,219.0,2668.0,2668.0,1153.5,17112.0,17112.0,,,,,,,32580.0,379610.0,379610.0
2003-02-01,77.0,1276.0,1276.0,792.5,15990.0,15990.0,,,,,,,32234.0,368271.0,368271.0
2003-03-01,103.0,1798.0,1798.0,822.5,17424.0,17424.0,,,,,,,33856.0,406011.0,406011.0
2003-04-01,171.0,2813.0,2813.0,0.0,0.0,0.0,,,,,,,20956.0,237184.0,237184.0
2003-05-01,167.0,2859.0,2859.0,807.5,16782.0,16782.0,,,,,,,31738.0,373388.0,373388.0
2003-06-01,212.0,3544.0,3544.0,848.0,17208.0,17208.0,,,,,,,33726.0,387481.0,387481.0
2003-07-01,220.0,2801.0,2801.0,692.0,10068.5,10068.5,,,,,,,45962.0,558008.0,558008.0
2003-08-01,182.0,2336.0,2336.0,1352.5,20718.0,20718.0,,,,,,,44933.0,540634.0,540634.0
2003-09-01,154.0,1902.0,1902.0,1216.5,18082.0,18082.0,,,,,,,33232.0,391340.0,391340.0
2003-10-01,233.0,2744.0,2744.0,1038.5,13194.5,13194.5,,,,,,,28889.0,335937.0,335937.0
2003-11-01,125.0,1596.0,1596.0,777.5,11054.0,11054.0,,,,,,,24461.0,303450.0,303450.0
2003-12-01,153.0,1931.0,1931.0,1193.5,18276.0,18276.0,,,,,,,31698.0,381327.0,381327.0
2004-01-01,101.0,1259.0,1259.0,1236.0,18732.0,18732.0,,,,,,,33274.0,396083.0,396083.0
2004-02-01,182.0,2314.0,2314.0,1017.0,16088.5,16088.5,,,,,,,28180.0,341717.0,341717.0
2004-03-01,211.0,2656.0,2656.0,1224.5,21372.0,21372.0,,,,,,,38604.0,463607.0,463607.0
2004-04-01,164.0,2326.0,2326.0,790.0,14301.0,14301.0,,,,,,,19675.0,266526.0,266526.0
2004-05-01,173.0,2146.0,2146.0,1319.5,20987.0,20987.0,,,,,,,30088.0,355181.0,355181.0
2004-06-01,190.0,2378.0,2378.0,1214.5,19429.0,19429.0,,,,,,,33564.0,401676.0,401676.0
2004-07-01,147.0,1858.0,1858.0,549.0,8122.5,8122.5,,,,,,,41693.0,516155.0,516155.0
2004-08-01,268.0,3374.0,3374.0,1348.0,21126.5,21126.5,,,,,,,35459.0,438118.0,438118.0
2004-09-01,191.0,2442.0,2442.0,1198.0,16259.5,16259.5,,,,,,,34401.0,424032.0,424032.0
2004-10-01,95.0,1183.0,1183.0,1042.5,15708.0,15708.0,,,,,,,28381.0,337930.0,337930.0
2004-11-01,147.0,1873.0,1873.0,1156.5,17922.0,17922.0,,,,,,,27422.0,337688.0,337688.0
2004-12-01,85.0,1061.0,1061.0,1108.0,16345.0,16345.0,,,,,,,32092.0,383707.0,383707.0
2005-01-01,129.0,1595.0,1595.0,1178.0,13427.05,13427.05,,,,,,,33762.0,398701.0,398701.0
2005-02-01,170.0,2122.8,2122.8,895.0,10296.65,10296.65,,,,,,,29076.0,344557.2,344557.2
2005-03-01,122.0,1519.6,1519.6,1138.0,13031.2,13031.2,,,,,,,44599.0,532049.4,532049.4
2005-04-01,18.0,232.0,232.0,1045.0,12344.150000000001,12344.150000000001,,,,,,,19049.0,235863.6,235863.6
2005-05-01,309.0,3758.4,3758.4,1053.5,11816.349999999999,11816.349999999999,,,,,,,33623.0,390660.0,390660.0
2005-06-01,118.0,1392.0,1392.0,1241.5,13486.2,13486.2,,,,,,,53089.0,597397.0,597397.0
2005-07-01,139.0,1618.2,1618.2,959.5,10310.3,10310.3,,,,,,,54881.0,611031.0,611031.0
2005-08-01,99.0,1171.6,1171.6,1355.0,14773.849999999999,14773.849999999999,,,,,,,53781.0,607410.0,607410.0
2005-09-01,125.0,1554.4,1554.4,1075.5,12325.95,12325.95,,,,,,,48231.0,774548.0,774548.0
2005-10-01,170.0,2111.2,2111.2,1052.5,12043.85,12043.85,,,,,,,37204.0,596689.0,596689.0
