PLANT ID,PLANT NAME,REPORTED PRIME MOVER,REPORTED FUEL TYPE CODE,MER FUEL TYPE CODE,NUCLEAR UNIT ID,COMBINED HEAT AND POWER PLANT,YEAR,file,variable,value,MONTH,period,energy_type,prime_mover_type,mer_type,common_name,sensor_name
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,ELEC MMBTU JAN,322,JAN,2021-01-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,quantity-consumed-electricity,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity"
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,TOT MMBTU JAN,322,JAN,2021-01-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,total-fuel-consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,NETGEN JAN,22.292,JAN,2021-01-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,generation,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation"
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,ELEC MMBTU FEB,313,FEB,2021-02-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,quantity-consumed-electricity,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity"
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,TOT MMBTU FEB,313,FEB,2021-02-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,total-fuel-consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,NETGEN FEB,21.678,FEB,2021-02-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,generation,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation"
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,NETGEN MAR,16.895,MAR,2021-03-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,generation,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation"
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,ELEC MMBTU MAR,244,MAR,2021-03-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,quantity-consumed-electricity,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity"
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,TOT MMBTU MAR,244,MAR,2021-03-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,total-fuel-consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
65266,HEB00070,IC,NG,NG,,N,2021,EIA923_Schedules_2_3_4_5_M_12_2021_Final_Revision.xlsx,ELEC MMBTU APR,278,APR,2021-04-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,quantity-consumed-electricity,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity"
