measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2024-01-01,-30.0,0.0,0.0
2024-02-01,-37.0,0.0,0.0
2024-03-01,-35.0,0.0,0.0
2024-04-01,-39.0,0.0,0.0
2024-05-01,-39.0,0.0,0.0
2024-06-01,-35.0,0.0,0.0
2024-07-01,-39.0,0.0,0.0
2024-08-01,-34.0,0.0,0.0
2024-09-01,-31.0,0.0,0.0
2024-10-01,-29.0,0.0,0.0
2024-11-01,-36.0,0.0,0.0
2024-12-01,-30.0,0.0,0.0
