measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2024-01-01,0.0,0.0,0.0
2024-02-01,-4.0,0.0,0.0
2024-03-01,-27.0,0.0,0.0
2024-04-01,-12.0,0.0,0.0
2024-05-01,-9.0,0.0,0.0
2024-06-01,-10.0,0.0,0.0
2024-07-01,-18.0,0.0,0.0
2024-08-01,-9.0,0.0,0.0
2024-09-01,-14.0,0.0,0.0
2024-10-01,-1.0,0.0,0.0
2024-11-01,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0
