PLANT ID,PLANT NAME,REPORTED PRIME MOVER,REPORTED FUEL TYPE CODE,MER FUEL TYPE CODE,NUCLEAR UNIT ID,COMBINED HEAT AND POWER PLANT,YEAR,file,variable,value,MONTH,period,energy_type,prime_mover_type,mer_type,common_name,sensor_name
7412,John Harmon Gen,IC,DFO,DFO,,N,2003,f906920_2003.xls,NETGEN JAN,12.176,JAN,2003-01-01,Distillate Fuel Oil,"Internal Combustion Engine (diesel, piston, reciprocating)",Distillate Fuel Oil,generation,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation"
7412,John Harmon Gen,IC,NG,NG,,N,2003,f906920_2003.xls,TOT MMBTU JAN,0,JAN,2003-01-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,total-fuel-consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
7412,John Harmon Gen,IC,NG,NG,,N,2003,f906920_2003.xls,NETGEN JAN,0,JAN,2003-01-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,generation,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation"
7412,John Harmon Gen,IC,NG,NG,,N,2003,f906920_2003.xls,ELEC MMBTU JAN,0,JAN,2003-01-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,quantity-consumed-electricity,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity"
7412,John Harmon Gen,IC,DFO,DFO,,N,2003,f906920_2003.xls,ELEC MMBTU JAN,142,JAN,2003-01-01,Distillate Fuel Oil,"Internal Combustion Engine (diesel, piston, reciprocating)",Distillate Fuel Oil,quantity-consumed-electricity,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity"
7412,John Harmon Gen,IC,DFO,DFO,,N,2003,f906920_2003.xls,TOT MMBTU JAN,142,JAN,2003-01-01,Distillate Fuel Oil,"Internal Combustion Engine (diesel, piston, reciprocating)",Distillate Fuel Oil,total-fuel-consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
7412,John Harmon Gen,IC,NG,NG,,N,2003,f906920_2003.xls,TOT MMBTU FEB,0,FEB,2003-02-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,total-fuel-consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
7412,John Harmon Gen,IC,DFO,DFO,,N,2003,f906920_2003.xls,TOT MMBTU FEB,119,FEB,2003-02-01,Distillate Fuel Oil,"Internal Combustion Engine (diesel, piston, reciprocating)",Distillate Fuel Oil,total-fuel-consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
7412,John Harmon Gen,IC,NG,NG,,N,2003,f906920_2003.xls,NETGEN FEB,0,FEB,2003-02-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,generation,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation"
7412,John Harmon Gen,IC,DFO,DFO,,N,2003,f906920_2003.xls,NETGEN FEB,10.181000000000001,FEB,2003-02-01,Distillate Fuel Oil,"Internal Combustion Engine (diesel, piston, reciprocating)",Distillate Fuel Oil,generation,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation"
7412,John Harmon Gen,IC,DFO,DFO,,N,2003,f906920_2003.xls,ELEC MMBTU FEB,119,FEB,2003-02-01,Distillate Fuel Oil,"Internal Combustion Engine (diesel, piston, reciprocating)",Distillate Fuel Oil,quantity-consumed-electricity,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity"
7412,John Harmon Gen,IC,NG,NG,,N,2003,f906920_2003.xls,ELEC MMBTU FEB,0,FEB,2003-02-01,Natural Gas,"Internal Combustion Engine (diesel, piston, reciprocating)",Natural Gas,quantity-consumed-electricity,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity"
7412,John Harmon Gen,IC,DFO,DFO,,N,2003,f906920_2003.xls,ELEC MMBTU MAR,122,MAR,2003-03-01,Distillate Fuel Oil,"Internal Combustion Engine (diesel, piston, reciprocating)",Distillate Fuel Oil,quantity-consumed-electricity,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity"
