measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2024-01-01,-25.0,0.0,0.0
2024-02-01,-14.0,0.0,0.0
2024-03-01,-20.0,0.0,0.0
2024-04-01,-16.0,0.0,0.0
2024-05-01,-13.0,0.0,0.0
2024-06-01,-10.0,0.0,0.0
2024-07-01,-13.0,0.0,0.0
2024-08-01,-8.0,0.0,0.0
2024-09-01,-11.0,0.0,0.0
2024-10-01,-15.0,0.0,0.0
2024-11-01,-14.0,0.0,0.0
2024-12-01,-20.0,0.0,0.0
