measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,1446.0,1446.0
2003-02-01,0.0,1274.0,1274.0
2003-03-01,0.0,1266.0,1266.0
2003-04-01,0.0,1276.0,1276.0
2003-05-01,0.0,1519.0,1519.0
2003-06-01,0.0,1586.0,1586.0
2003-07-01,0.0,1730.0,1730.0
2003-08-01,0.0,1828.0,1828.0
2003-09-01,0.0,1501.0,1501.0
2003-10-01,0.0,1361.0,1361.0
2003-11-01,0.0,1288.0,1288.0
2003-12-01,0.0,1333.0,1333.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
