measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2024-01-01,-19.0,0.0,0.0
2024-02-01,-14.0,0.0,0.0
2024-03-01,-14.0,0.0,0.0
2024-04-01,-15.0,0.0,0.0
2024-05-01,-17.0,0.0,0.0
2024-06-01,-23.0,0.0,0.0
2024-07-01,-31.0,0.0,0.0
2024-08-01,-27.0,0.0,0.0
2024-09-01,-14.0,0.0,0.0
2024-10-01,-14.0,0.0,0.0
2024-11-01,-15.0,0.0,0.0
2024-12-01,-15.0,0.0,0.0
