measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2003-04-01,-7.0,0.0,0.0
2003-05-01,-16.0,0.0,0.0
2003-06-01,-16.0,0.0,0.0
2003-07-01,-16.0,0.0,0.0
2003-08-01,-4.0,0.0,0.0
2003-09-01,-21.0,0.0,0.0
2003-10-01,-20.0,0.0,0.0
2003-11-01,-22.0,0.0,0.0
2003-12-01,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
